path	line	category	match	text
magic_updater/Manalink.csv	1861	runtime-file-reference	d:\	1859;Arnjlot's Ascent;1;Arnjlot's Ascent;|1|U|U;8h;2;2;1;1;0;2;0;0;0;1;0h;0;0;0;0;0;0;0;1002h;-1;-1;-1;-1;-1;-1;211;211;0;Enchantment;Cumulative upkeep |U (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\n|1: Target creature gains flying until end of turn.;The dreams of a child fulfilled:\nThe win
magic_updater/Manalink.csv	3533	runtime-file-reference	l:\	3531;Peace of Mind;1;Peace of Mind;|1|W;8h;8;2;4;1;0;0;0;0;1;1;0h;0;0;0;0;0;0;0;1002h;-1;-1;-1;-1;-1;-1;211;211;0;Enchantment;|W, Discard a card: You gain 3 life.;Three are the paths of the soul:\nOne outroam across the plain,\nOne backdwell with tribe and tent,\nOne inturn an enemy's hate.;;;;;;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
magic_updater/Manalink.csv	5934	runtime-file-reference	e:\	5932;Dwarven Driller;1;Dwarven Driller;|3|R;8h;7;7;4;3;0;0;0;1;0;1;0h;2;2;0;0;0;0;0;1001h;36h;-1;-1;-1;-1;-1;57;211;0;Creature  Dwarf;|T: Destroy target land unless its controller has Dwarven Driller deal 2 damage to him or her.;Drill the planet, it's no trouble:\nMining granite, making rubble.\nDwarven drilling song;Dwarven Driller deal 2 damage to target land's controller.;;;;;0;0;0;0;0;0;0;
magic_updater/xml-to-csv.pl	2519	runtime-file-reference	d:\	"$ml_header_line . $cr eq $csv->string() or die qq[Mismatch between computed $manalink_filename header line and actual read\nComputed:\n""$ml_header_line$cr""\nActual Read:\n""], $csv->string(), '""]';"
magic_updater/xml-to-csv.pl	2775	runtime-file-reference	d:\	"$ct_header_line . $cr eq $csv->string() or die qq[Mismatch between computed $ctall_filename header line and actual read\nComputed:\n""$ct_header_line$cr""\nActual Read:\n""], $csv->string(), '""]';"
Manalink_Launcher.cmd	189	runtime-file-reference	d:\	"%PC% D ""     Manalink needs the following Mods installed:\n\n"
Manalink_Launcher.cmd	653	runtime-file-reference	y:\	"%PC% C ""     %dirDisplay:\=\\%%Mod%\n\n"""
Manalink_Launcher.cmd	729	runtime-file-reference	y:\	"IF DEFINED dirDisplay %PC% C ""     %dirDisplay:\=\\%\n\n"""
PlayDeckAnalyser/PDAnalyser.ini	14	runtime-file-reference	C:\	ManalinkDir = C:\Users\del_d\OneDrive\Bureau\Magic\PlayDeckAnalyser\
PlayDeckAnalyser/PDAnalyser.ini	15	runtime-file-reference	C:\	PlayDeckDir = C:\Users\del_d\OneDrive\Bureau\Magic\PlayDeckAnalyser\PlayDeck\
PlayDeckAnalyser/PDAnalyser.ini	16	runtime-file-reference	C:\	ImportDeckDir = C:\Users\del_d\OneDrive\Bureau\Magic\PlayDeckAnalyser\PlayDeck\
PlayDeckAnalyser/PDAnalyser.ini	17	runtime-file-reference	C:\	ImportJpgDir = C:\Users\del_d\OneDrive\Bureau\Magic\PlayDeckAnalyser\
PlayDeckAnalyser/PDAnalyser.ini	18	runtime-file-reference	C:\	ImportTxtDir = C:\PROGRA~1\Magic\PlayDeckAnalyser\NetDeck\
PlayDeckAnalyser/PDAnalyser.ini	19	runtime-file-reference	C:\	ImportShanDir = C:\Program Files\Magic\
PlayDeckAnalyser/PDAnalyser.ini	42	runtime-file-reference	C:\	ExternalTextEditor = C:\Users\del_d\OneDrive\Bureau\Magic\PlayDeckAnalyser\MetaPad.exe
PlayDeckAnalyser/PDAnalyser.ini	59	runtime-file-reference	C:\	e.g. [C:\Users\del_d\OneDrive\Bureau\Magic\PlayDeckAnalyser\]TextEditor.exe
PlayDeckAnalyser/ReadMe_PlayDeckAnalyser_v05.txt	541	runtime-file-reference	e:\	PlayDeckAnalyser.exe /c [drive:\Full\Path\to\] FileName.txt
Program/src/cards/draft.c	677	runtime-file-reference	d:\	"//fprintf(file,""player %d (pick %d)is picking out of pack %d:\n"", player, 15*pack+pick, which_pack );"
Program/src/cards/draft.c	799	runtime-file-reference	d:\	"fprintf(file2,""Building deck for player %d:\n"", player );"
Program/src/cards/draft.c	806	runtime-file-reference	d:\	"fprintf(file2,""Building deck for player %d:\n"", player );"
Program/src/cards/vanguard.c	1652	runtime-file-reference	t:\	"pos+=snprintf(buffer + pos , 600-pos, "" Illegal mana symbols in text:\n %s\n"", c1->name);"
Program/src/cards/vanguard.c	1684	runtime-file-reference	t:\	"pos+=snprintf(buffer + pos , 600-pos, "" Illegal mana symbols in text:\n %s\n"", c1->name);"
