path	line	offset_or_marker	text
Program/src/patches/Makefile	25	patch	%.exe: %.c patch.h
Program/src/patches/Manalink/Patch.pm	3	Patch	package Manalink::Patch;
Program/src/patches/Manalink/Patch.pm	13	patch	our @EXPORT = qw/patch string_literal/;
Program/src/patches/Manalink/Patch.pm	22	magic.exe	"""magic.exe"" => 0x400000,"
Program/src/patches/Manalink/Patch.pm	23	0x1000c00	"""manalinkex.dll"" => 0x1000c00,"
Program/src/patches/Manalink/Patch.pm	24	shandalar.exe	"""shandalar.exe"" => 0x400c00"
Program/src/patches/Manalink/Patch.pm	38	patch	sub patch
Program/src/patches/Manalink/Patch.pm	68	offset	$seekpos >= $offsets{$lc_filename} or croak sprintf qq/Seekpos $seekpos is less than $filename's base offset %x/, $offsets{$lc_filename};
Program/src/patches/patch.h	1	PATCH_	"#ifndef PATCH_H	// -*- tab-width:8 -*-"
Program/src/patches/patch.h	2	PATCH_	"#define PATCH_H	1"
Program/src/patches/patch.h	49	0xffffffff	"char* hexstr = (char*)malloc(11 * len + 1);	// really only need 5*len + 1, but we're going to die here anyway, so make sure we can fit "" 0xffffffff"""
Program/src/patches/patch_ai_opinion_defender.pl	3	Magic.exe	# Updates Magic.exe in-place.
Program/src/patches/patch_ai_opinion_defender.pl	10	Patch	use Manalink::Patch;
Program/src/patches/patch_ai_opinion_defender.pl	18	0x7e7039	"# 499386:	0f be 84 c0 39 70 7e 00	movsx	eax, byte [eax+eax*8+0x7e7039]	; eax = (int8_t)cards_data[iid].subtype"
Program/src/patches/patch_ai_opinion_defender.pl	20	0x4993a3	"# 499390:	75 11			jnz	0x4993a3			;     != 0) goto 0x4993a3	// skip zeroing of effective power"
Program/src/patches/patch_ai_opinion_defender.pl	21	patch	"patch(""Magic.exe"", 0x499380,"
Program/src/patches/patch_ai_opinion_defender.pl	22	0x800000	"""f7 85 a0 fe ff ff 00 00 80 00"",	# test	dword [ebp-0x160], 0x800000	; if ((abils & KEYWORD_DEFENDER)"
Program/src/patches/patch_ai_opinion_defender.pl	23	0x4993a3	"""74 17"",				# jz	0x4993a3			;     == 0) goto 0x4993a3"
Program/src/patches/patch_ai_opinion_defender.pl	30	0x7e7039	"# 4998e2:	0f be 84 c0 39 70 7e 00	movsx	eax, byte [eax+eax*8+0x7e7039]	; eax = cards_data[iid].subtype"
Program/src/patches/patch_ai_opinion_defender.pl	32	0x4998f6	"# 4998ec:	75 08			jnz	0x4998f6			;     != 0) goto 0x4998f6"
Program/src/patches/patch_ai_opinion_defender.pl	33	patch	patch(0x4998e2,
Program/src/patches/patch_ai_opinion_defender.pl	34	0x800000	"""f7 46 28 00 00 80 00"",		# test	dword [esi+0x28), 0x800000	; if ((esi->regen_status & KEYWORD_DEFENDER)"
Program/src/patches/patch_ai_opinion_defender.pl	35	0x4998f6	"""74 0b"",				# jz	0x4998f6			;     == 0) goto 0x4998f6"
Program/src/patches/patch_always_dispatch_events.pl	3	Magic.exe	# Updates Magic.exe in-place.
Program/src/patches/patch_always_dispatch_events.pl	4	0x4EF188	# 1. Sets the global variable at 0x4EF188, which I currently have labelled PARTIALLY_extra_abilities_of_all_cards_in_play, to EA_CONTROLLED|EA_FORCE_ATTACK
Program/src/patches/patch_always_dispatch_events.pl	8	0x1FFC0000	# EA_PAID_BLOCK|EA_PAID_ATTACK|EA_LICH|EA_SELECT_BLOCK|EA_SELECT_ATTACK|EA_MARTYR, or 0x1FFC0000 - are |ed into this at the end of get_abilities(player, card,
Program/src/patches/patch_always_dispatch_events.pl	41	Magic.exe	"$filename = ""Magic.exe"";"
Program/src/patches/patch_always_dispatch_events.pl	49	0x004ef188	"# 43d576:	c7 05 88 f1 4e 00  00 00 00 00		; mov    dword [0x004ef188], 0x0	; PARTIALLY_extra_abilities_of_all_cards_in_play = 0"
Program/src/patches/patch_always_dispatch_events.pl	51	0x3d576	seek_and_write($f, 0x3d576,
Program/src/patches/patch_always_dispatch_events.pl	52	0x004ef188	"0xc7, 0x05, 0x88, 0xf1, 0x4e, 0x00,  0x00, 0x00, 0x00, 0x11);	# mov	dword [0x004ef188], 0x11000000	; PARTIALLY_extra_abilities_of_all_cards_in_play = EA_CONTROLLED|EA_FORCE_ATTACK"
Program/src/patches/patch_always_dispatch_events.pl	58	0x004ef188	"# 478b97:	c7 05 88 f1 4e 00  00 00 00 00		; mov    dword [0x004ef188], 0x0	; PARTIALLY_extra_abilities_of_all_cards_in_play = 0"
Program/src/patches/patch_always_dispatch_events.pl	60	0x78b97	seek_and_write($f, 0x78b97,
