path	line	category	match	text
magic_updater/ct_all.csv	1	todo-fixme	Unused	Sort order;Name (will be cut down);Full Card Name in CSV (must be exactly the same);Type: Effect;Type: Artifact;Type: Interrupt;Type: Instant;Type: Sorcery;Type: Enchantment;Type: Creature;Type: Land;Family;Color Unused;Color ArtMana;Color White;Color Red;Color Green;Color Blue;Color Black;Color Colorless;Required Colorless Mana (total);Required COLOR Mana (total);cc[2];Power;Toughness;Extra Flags
magic_updater/ct_all.csv	3779	todo-fixme	hack	10000;Gelid Shackles;Gelid Shackles;0;0;0;0;0;1;0;0;-1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0x200a4d0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
magic_updater/ct_all.csv	3988	todo-fixme	hack	10000;Goblin Bushwhacker;Goblin Bushwhacker;0;0;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0x2001B23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
magic_updater/ct_all.csv	5101	todo-fixme	Hack	10000;Jund Hackblade;Jund Hackblade;0;0;0;0;0;0;1;0;3;0;0;0;1;1;0;1;0;0;2;1;2;1;0;0;0;0;0;0;0;1;0;0x2008428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
magic_updater/ct_all.csv	5786	todo-fixme	Hack	10000;Magical Hack;Magical Hack;0;0;1;0;0;0;0;0;-1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0x200e30a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;-1
magic_updater/ct_all.csv	6349	todo-fixme	todo	10000;Mosstodon;Mosstodon;0;0;0;0;0;0;1;0;10;0;0;0;0;1;0;0;0;4;1;0;5;3;0;0;0;0;0;0;0;0;0;0x20081f3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
magic_updater/ct_all.csv	6675	todo-fixme	hack	10000;Noggin Whack;Noggin Whack;0;0;0;0;1;0;0;0;-1;0;0;0;0;0;0;1;0;2;2;13;0;0;0;0;0;0;0;0;0;1;0;0x2007b7c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
magic_updater/ct_all.csv	6757	todo-fixme	hack	10000;Ob Nixilis, Unshackled;Ob Nixilis, Unshackled;0;0;0;0;0;0;1;0;14;0;0;0;0;0;0;1;0;4;2;0;4;4;0;0;0;0;0;0;0;0;0;0x200c91f;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
magic_updater/ct_all.csv	8080	todo-fixme	todo	10000;Rotting Mastodon;Rotting Mastodon;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;4;1;0;2;8;0;0;0;0;0;0;0;0;0;0x401000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
magic_updater/ct_all.csv	8553	todo-fixme	hack	10000;Shackles;Shackles;0;0;0;0;0;1;0;0;-1;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0x200a197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0
magic_updater/ct_all.csv	8707	todo-fixme	todo	10000;Siege Mastodon;Siege Mastodon;0;0;0;0;0;0;1;0;-1;0;0;1;0;0;0;0;0;4;1;0;3;5;0;0;0;0;0;0;0;0;0;0x401000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
magic_updater/ct_all.csv	9205	todo-fixme	hack	10000;Spirit Shackle;Spirit Shackle;0;0;0;0;0;1;0;0;-1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0x200b169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
